Machine learning,"Each time each type of sort button is clicked, changes from Ascending to Descending",,your search,Button to Reset to original ordering,Order by your notes,"Authors, year, editor", Button - use to order by YEAR,First author,Title,text, Link 1, Link 2,," dois, after using crossref button"
,,,Natural language processing,8,,"C Manning, H Schutze - 1999 - books.google.com",1999,"Manning,",Foundations of statistical natural language processing,"Statistical approaches to processing natural language text have become dominant in recent 
years. This foundational text is the first comprehensive introduction to statistical natural 
language processing (NLP) to appear. The book contains all the theory and algorithms …",,https://books.google.com/books?hl=en&lr=&id=3qnuDwAAQBAJ&oi=fnd&pg=PT12&dq=Natural+language+processing&ots=ysG0l4ypOY&sig=aygW_p7v9CVQSS6EH8uY438Mt4Q,,
,,,Natural language processing,9,,"S Bird, E Klein, E Loper - 2009 - books.google.com",2009,"Bird,",Natural language processing with Python: analyzing text with the natural language toolkit,"This book offers a highly accessible introduction to natural language processing, the field 
that supports a variety of language technologies, from predictive text and email filtering to 
automatic summarization and translation. With it, you'll learn how to write Python programs …",http://117.3.71.125:8080/dspace/bitstream/DHKTDN/6460/1/Natural%20Language%20Processing%20with%20Python.4149.pdf,https://books.google.com/books?hl=en&lr=&id=KGIbfiiP1i4C&oi=fnd&pg=PR5&dq=Natural+language+processing&ots=Y4zkw7FCK3&sig=9DH9FIoHJiRJH9q8WnC9EJbnd0Q,,
,,,Natural language processing,10,,"CD Manning, M Surdeanu, J Bauer, JR Finkel… - Proceedings of 52nd …, 2014 - aclweb.org",2014,"Manning,",The Stanford CoreNLP natural language processing toolkit,"We describe the design and use of the Stanford CoreNLP toolkit, an extensible pipeline that 
provides core natural language analysis. This toolkit is quite widely used, both in the 
research NLP community and also among commercial and government users of open …",https://www.aclweb.org/anthology/P14-5010.pdf,https://www.aclweb.org/anthology/P14-5010.pdf,,
,,,Natural language processing,11,,"AK Joshi - Science, 1991 - science.sciencemag.org",1991,Joshi,Natural language processing,"Natural language processing (NLP) is the study of mathematical and computational 
modeling of various aspects of language and the development of a wide range of systems. 
These include spoken language systems that integrate speech and natural language; …",http://www.cs.jhu.edu/~phi/ai/slides/lecture-natural-language-processing.pdf,https://science.sciencemag.org/content/253/5025/1242.abstract,,
,,,Natural language processing,12,,E Kumar - 2011 - books.google.com,2011,Kumar,Natural language processing,"Natural Language Processing covers all aspects of the area of linguistic analysis and the 
computational systems that have been developed to perform the language analysis. The 
book is primarily meant for post graduate and undergraduate technical courses. The book …",,https://books.google.com/books?hl=en&lr=&id=FpUBFNFuKWgC&oi=fnd&pg=PP2&dq=Natural+language+processing&ots=GFu41LczXp&sig=SF7HZOFbu_rM_i767OTe99nR5-w,,
,,,Natural language processing,13,,"A Chopra, A Prashar, C Sain - International journal of technology …, 2013 - Citeseer",2013,"Chopra,",Natural language processing,"Language is way of communicating your words Language helps in understanding the world, 
we get a better insight of the world. Language helps speakers to be as vague or as precise 
as they like. NLP Stands for natural language processing.. Natural languages are those …",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.407.6907&rep=rep1&type=pdf,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.407.6907&rep=rep1&type=pdf,,
,,,Natural language processing,14,,"WG Lehnert, MH Ringle - 2014 - books.google.com",2014,"Lehnert,",Strategies for natural language processing,"First Published 1982 by Lawrence Erlbaum Associates, Inc. Published 2014 by Psychology Press 
 711 Third Avenue, New York, NY 10017 and by Psychology Press 27 Church Road, Hove, East 
 Sussex, BN3 2FA Psychology Press is an imprint of the Taylor & Francis Group, an informa business …",,https://books.google.com/books?hl=en&lr=&id=feNHAwAAQBAJ&oi=fnd&pg=PP1&dq=Natural+language+processing&ots=ifUP-KVvXi&sig=CcCVtc5kqUstEfAW9KRZSjMx7zw,,
,,,Natural language processing,15,,RC Moore - 1981 - apps.dtic.mil,1981,Moore,Practical Natural-Language Processing by Computer,"This paper describes the state of the art in practical computer systems for natural-language 
processing. We first consider why one would want to use natural language to communicate 
with computers at all, looking at both general issues and specific applications. Next we …",https://apps.dtic.mil/sti/pdfs/ADA458076.pdf,https://apps.dtic.mil/sti/citations/ADA458076,,
,,,Natural language processing,16,,"GG Herdrix - Proc. 5th Int'l Joint Conf. Artificial Intelligence, 1977 - ijcai.org",1977,Herdrix,Human engineering fcr applied natural language processing,"Human engineeringfeaturesfo renhancingthe usabil ity of practical natural language 
systems al re described. Such featuresincludespelli ng correction, processing of incomplete 
(ell ipt ic-~ I) input?, jntfrrog-t ior of th p underlying language definition through English …",https://www.ijcai.org/Proceedings/77-1/Papers/028.pdf,https://www.ijcai.org/Proceedings/77-1/Papers/028.pdf,,
,,,Natural language processing,17,,J Eisenstein - 2019 - books.google.com,2019,Eisenstein,Introduction to natural language processing,"A survey of computational methods for understanding, generating, and manipulating human 
language, which offers a synthesis of classical representations and algorithms with 
contemporary machine learning techniques. This textbook provides a technical perspective …",,https://books.google.com/books?hl=en&lr=&id=72yuDwAAQBAJ&oi=fnd&pg=PR5&dq=Natural+language+processing&ots=gW5NZ5Yer_&sig=qxurIrb5pFqBT1VEVXoqa331DWQ,,
,,,Natural language processing,18,,"Y Goldberg - Journal of Artificial Intelligence Research, 2016 - jair.org",2016,Goldberg,A primer on neural network models for natural language processing,"Over the past few years, neural networks have re-emerged as powerful machine-learning 
models, yielding state-of-the-art results in fields such as image recognition and speech 
processing. More recently, neural network models started to be applied also to textual …",https://www.jair.org/index.php/jair/article/download/11030/26198/,http://www.jair.org/index.php/jair/article/view/11030,,
,,,Natural language processing,19,,"A Jain, G Kulkarni, V Shah - International Journal of Computer Sciences …, 2018 - myecole.it",2018,"Jain,",Natural language processing,"Revised: 20/Oct/2017, Accepted: 14/Nov/2018, Published: 31/Jan/2018 Abstract-Natural 
language processing is widely discussed and researched topic nowadays. As it is one of the 
oldest area of research in machine learning it is used in major fields such as machine …",https://www.myecole.it/biblio/wp-content/uploads/2020/11/7semt_2018-Natural_Language_Processing.pdf,https://www.myecole.it/biblio/wp-content/uploads/2020/11/7semt_2018-Natural_Language_Processing.pdf,,
,,,Natural language processing,20,,"E Brill, RJ Mooney - AI magazine, 1997 - ojs.aaai.org",1997,"Brill,",An overview of empirical natural language processing,"In recent years, there has been a resurgence in research on empirical methods in natural 
language processing. These methods employ learning techniques to automatically extract 
linguistic knowledge from natural language corpora rather than require the system …",https://ojs.aaai.org/index.php/aimagazine/article/view/1318/1219,https://ojs.aaai.org/index.php/aimagazine/article/view/1318,,
,,,Natural language processing,21,,"NY Habash - Synthesis Lectures on Human Language …, 2010 - morganclaypool.com",2010,Habash,Introduction to Arabic natural language processing,"This book provides system developers and researchers in natural language processing and 
computational linguistics with the necessary background information for working with the 
Arabic language. The goal is to introduce Arabic linguistic phenomena and review the state …",https://www.academia.edu/download/31215820/HabashTUTORIAL.ARABIC.NLP.pdf,https://www.morganclaypool.com/doi/abs/10.2200/s00277ed1v01y201008hlt010,,
,,,Natural language processing,22,,"M Gardner, J Grus, M Neumann, O Tafjord… - arXiv preprint arXiv …, 2018 - arxiv.org",2018,"Gardner,",Allennlp: A deep semantic natural language processing platform,"This paper describes AllenNLP, a platform for research on deep learning methods in natural 
language understanding. AllenNLP is designed to support researchers who want to build 
novel language understanding models quickly and easily. It is built on top of PyTorch …",https://arxiv.org/pdf/1803.07640,https://arxiv.org/abs/1803.07640,,
,,,Natural language processing,23,,"A Clark, C Fox, S Lappin - 2013 - books.google.com",2013,"Clark,",The handbook of computational linguistics and natural language processing,"This comprehensive reference work provides an overview of the concepts, methodologies, 
and applications in computational linguistics and natural language processing (NLP). 
Features contributions by the top researchers in the field, reflecting the work that is driving …",http://196.189.45.87/bitstream/123456789/14228/1/28%20pdf.pdf,https://books.google.com/books?hl=en&lr=&id=zBmom42eWPcC&oi=fnd&pg=PA1978&dq=Natural+language+processing&ots=NaB6j7nDd8&sig=jsgp0TkjvM5iH8w5qdZmqezYvLk,,
,,,Natural language processing,24,,"P Spyns - Methods of information in medicine, 1996 - researchgate.net",1996,Spyns,Natural language processing in medicine: an overview,"An attempt has been made to enumerate the most important and known international 
projects and to summarise their goals, principles, methods and results. An entire section is 
devoted to NLP initiatives involving the Dutch language. A more general discussion about …",https://www.researchgate.net/profile/Peter_Spyns/publication/14190334_Natural_Language_Processing_in_Medicine_An_Overview/links/5752da9908ae10d93371303b/Natural-Language-Processing-in-Medicine-An-Overview.pdf,https://www.researchgate.net/profile/Peter_Spyns/publication/14190334_Natural_Language_Processing_in_Medicine_An_Overview/links/5752da9908ae10d93371303b/Natural-Language-Processing-in-Medicine-An-Overview.pdf,,
,,,Natural language processing,25,,"KS Jones - Current issues in computational linguistics: in honour of …, 1994 - Springer",1994,Jones,Natural language processing: a historical review,"This paper reviews natural language processing (NLP) from the late 1940's to the present, 
seeking to identify its successive trends as these reflect concerns with different problems or 
the pursuit of different approaches to solving these problems and building systems as …",,https://link.springer.com/chapter/10.1007/978-0-585-35958-8_1,,
,,,Natural language processing,26,,"A Berger, SA Della Pietra, VJ Della Pietra - Computational linguistics, 1996 - dl.acm.org",1996,"Berger,",A maximum entropy approach to natural language processing,"The concept of maximum entropy can be traced back along multiple threads to Biblical 
times. Only recently, however, have computers become powerful enough to permit the 
widescale application of this concept to real world problems in statistical estimation and …",https://www.aclweb.org/anthology/J96-1002.pdf,https://dl.acm.org/doi/abs/10.5555/234285.234289,,
,,,Natural language processing,27,,"L Deng, Y Liu - 2018 - books.google.com",2018,"Deng,",Deep learning in natural language processing,"In recent years, deep learning has fundamentally changed the landscapes of a number of 
areas in artificial intelligence, including speech, vision, natural language, robotics, and 
game playing. In particular, the striking success of deep learning in a wide variety of natural  …",,https://books.google.com/books?hl=en&lr=&id=y_lcDwAAQBAJ&oi=fnd&pg=PR5&dq=Natural+language+processing&ots=aiqu83NPgb&sig=7mgaFf5Fmll831g3EvTMAJY70B0,,
,,,Natural language processing,28,,"T Wolf, L Debut, V Sanh, J Chaumond… - arXiv preprint arXiv …, 2019 - arxiv.org",2019,"Wolf,",HuggingFace's Transformers: State-of-the-art natural language processing,"Recent progress in natural language processing has been driven by advances in both 
model architecture and model pretraining. Transformer architectures have facilitated 
building higher-capacity models and pretraining has made it possible to effectively utilize …",https://arxiv.org/pdf/1910.03771,https://arxiv.org/abs/1910.03771,,
,,,Natural language processing,29,,"A Kao, SR Poteet - 2007 - books.google.com",2007,"Kao,",Natural language processing and text mining,"The topic this book addresses originated from a panel discussion at the 2004 ACM SIGKDD 
(Special Interest Group on Knowledge Discovery and Data Mining) Conference held in 
Seattle, Washington, USA. We the editors or-nized the panel to promote discussion on how …",http://203.201.63.46:8080/jspui/bitstream/123456789/1254/1/Natural%20Language%20Processing%20And%20Text%20Mining%20by%20Anne%20Kao.pdf,https://books.google.com/books?hl=en&lr=&id=CVtxFWbKT7wC&oi=fnd&pg=PA1&dq=Natural+language+processing&ots=vNvTukEYsh&sig=GerL5l1QfE2-ikoYnj9EzX1MqbU,,
,,,Natural language processing,30,,"DD Lewis, KS Jones - Communications of the ACM, 1996 - dl.acm.org",1996,"Lewis,",Natural language processing for information retrieval,"Moreover, even if the user does have questions in mind, the aim is to retrieve overall 
information so these questions, as well as other questions prompted by reading the 
documents, are answered. This means that DR must find relationships between the …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.14.1921&rep=rep1&type=pdf,https://dl.acm.org/doi/pdf/10.1145/234173.234210,,
,,,Natural language processing,31,,"K Jensen, GE Heidorn, SD Richardson - 2012 - books.google.com",2012,"Jensen,",Natural language processing: the PLNLP approach,"Natural language is easy for people and hard for machines. For two generations, the 
tantalizing goal has been to get computers to handle human languages in ways that will be 
compelling and useful to people. Obstacles are many and legendary. Natural Language …",,https://books.google.com/books?hl=en&lr=&id=vuLTBwAAQBAJ&oi=fnd&pg=PR11&dq=Natural+language+processing&ots=aygJ_ToTNJ&sig=LtO1-xnrA7LOQolTjhosf8XJq08,,
,,,Natural language processing,32,,"C Friedman, G Hripcsak - Acad Med, 1999 - columbia.edu",1999,"Friedman,",Natural language processing and its future in medicine,"If accurate clinical information were available"" electronically, automated applications could 
be developed to use this information to improve patient care and dowef costs. However, to 
be fully retrievable, clinical information must be struetùréd or coded. Many online patient …",http://www.columbia.edu/itc/hs/medinfo/g6080/misc/articles/friedman.pdf,http://www.columbia.edu/itc/hs/medinfo/g6080/misc/articles/friedman.pdf,,
,,,Natural language processing,33,,"R Collobert, J Weston, L Bottou, M Karlen… - Journal of machine …, 2011 - jmlr.org",2011,"Collobert,",Natural language processing (almost) from scratch,"We propose a unified neural network architecture and learning algorithm that can be applied 
to various natural language processing tasks including part-of-speech tagging, chunking, 
named entity recognition, and semantic role labeling. This versatility is achieved by trying to …",https://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf?source=post_page---------------------------,https://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf?source=post_page---------------------------,,
,,,Natural language processing,34,,"C Friedman, L Shagina, Y Lussier… - Journal of the American …, 2004 - academic.oup.com",2004,"Friedman,",Automated encoding of clinical documents based on natural language processing,"Objective: The aim of this study was to develop a method based on natural language 
processing (NLP) that automatically maps an entire clinical document to codes with 
modifiers and to quantitatively evaluate the method. Methods: An existing NLP system …",https://academic.oup.com/jamia/article/11/5/392/820006,https://academic.oup.com/jamia/article-abstract/11/5/392/820006,,
,,,Natural language processing,35,,"G Hripcsak, C Friedman, PO Alderson… - Annals of internal …, 1995 - acpjournals.org",1995,"Hripcsak,",Unlocking clinical data from narrative reports: a study of natural language processing,"Objective: To evaluate the automated detection of clinical conditions described in narrative 
reports. Design: Automated methods and human experts detected the presence or absence 
of six clinical conditions in 200 admission chest radiograph reports. Study Subjects: A …",,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-122-9-199505010-00007,,
,,,Natural language processing,36,,"A Farghaly, K Shaalan - … on Asian Language Information Processing  …, 2009 - dl.acm.org",2009,"Farghaly,",Arabic natural language processing: Challenges and solutions,"The Arabic language presents researchers and developers of natural language processing 
(NLP) applications for Arabic text and speech with serious challenges. The purpose of this 
article is to describe some of these challenges and to present some solutions that would …",https://www.marefa.org/images/4/4b/Arabic_Natural_Language_Processing_Chall.pdf,https://dl.acm.org/doi/abs/10.1145/1644879.1644881,,
,,,Natural language processing,37,,"Y Goldberg - Synthesis lectures on human language …, 2017 - morganclaypool.com",2017,Goldberg,Neural network methods for natural language processing,"Neural networks are a family of powerful machine learning models. This book focuses on the 
application of neural network models to natural language data. The first half of the book 
(Parts I and II) covers the basics of supervised machine learning and feed-forward neural …",http://minegrado.ovh:3000/General-Team/docs/raw/branch/master/ML_DL_NN_books/Machine_Learning/Generic-books-1/[THE]%20Neural%20Network%20Methods%20in%20Natural%20Language%20Processing%20%282017%29.pdf,https://www.morganclaypool.com/doi/abs/10.2200/S00762ED1V01Y201703HLT037,,
,,,Natural language processing,38,,"D Jurafsky, C Manning - Instructor, 2012 - nlp.cs.nyu.edu",2012,"Jurafsky,",Natural language processing,"Much of the best work in the field combines two methodologies: (1) automatically acquiring statistical 
 information from one set of (training) documents to use as the basis for probabilistically predicting 
 the distribution of similar information in new documents; and (2) using manually encoded linguistic …",,https://nlp.cs.nyu.edu/meyers/montclair-class/,,
,,,Natural language processing,39,,"C Friedman - Proceedings of the AMIA Symposium, 2000 - ncbi.nlm.nih.gov",2000,Friedman,A broad-coverage natural language processing system.,"Natural language processing systems (NLP) that extract clinical information from textual 
reports were shown to be effective for limited domains and for particular applications. 
Because an NLP system typically requires substantial resources to develop, it is beneficial if …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2243979/pdf/procamiasymp00003-0305.pdf.,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2243979/,,
,,,Natural language processing,40,,"A Kumar, O Irsoy, P Ondruska, M Iyyer… - International …, 2016 - proceedings.mlr.press",2016,"Kumar,",Ask me anything: Dynamic memory networks for natural language processing,"Most tasks in natural language processing can be cast into question answering (QA) 
problems over language input. We introduce the dynamic memory network (DMN), a neural 
network architecture which processes input sequences and questions, forms episodic …",http://proceedings.mlr.press/v48/kumar16.pdf,http://proceedings.mlr.press/v48/kumar16.html,,
,,,Natural language processing,41,,"EM Voorhees - International summer school on information extraction, 1999 - Springer",1999,Voorhees,Natural language processing and information retrieval,"Abstract Information retrieval addresses the problem of finding those documents whose 
content matches a user's request from among a large collection of documents. Currently, the 
most successful general purpose retrieval methods are statistical methods that treat text as …",https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151418,https://link.springer.com/chapter/10.1007/3-540-48089-7_3,,
,,,Natural language processing,42,,"W Yin, K Kann, M Yu, H Schütze - arXiv preprint arXiv:1702.01923, 2017 - arxiv.org",1923,"Yin,",Comparative study of CNN and RNN for natural language processing,"Deep neural networks (DNN) have revolutionized the field of natural language processing 
(NLP). Convolutional neural network (CNN) and recurrent neural network (RNN), the two 
main types of DNN architectures, are widely explored to handle various NLP tasks. CNN is …",https://arxiv.org/pdf/1702.01923,https://arxiv.org/abs/1702.01923,,
,,,Natural language processing,43,,"D Khurana, A Koli, K Khatter, S Singh - arXiv preprint arXiv:1708.05148, 2017 - arxiv.org",2017,"Khurana,","Natural language processing: State of the art, current trends and challenges","Natural language processing (NLP) has recently gained much attention for representing and 
analysing human language computationally. It has spread its applications in various fields 
such as machine translation, email spam detection, information extraction, summarization …",https://arxiv.org/pdf/1708.05148,https://arxiv.org/abs/1708.05148,,
,,,Natural language processing,44,,"T Young, D Hazarika, S Poria… - ieee Computational …, 2018 - ieeexplore.ieee.org",2018,"Young,",Recent trends in deep learning based natural language processing,"Deep learning methods employ multiple processing layers to learn hierarchical 
representations of data, and have produced state-of-the-art results in many domains. 
Recently, a variety of model designs and methods have blossomed in the context of natural  …",https://arxiv.org/pdf/1708.02709,https://ieeexplore.ieee.org/abstract/document/8416973/,,
,,,Natural language processing,45,,"MD Yandell, WH Majoros - Nature Reviews Genetics, 2002 - nature.com",2002,"Yandell,",Genomics and natural language processing,"Abstract The Human Genome and MEDLINE are both the foci of intense data-mining efforts 
worldwide. The biomedical literature has much to say about sequence, but it also seems that 
sequence can tell us much about the biomedical literature. Biological natural language  …",http://www.geocities.ws/ResearchTriangle/Forum/1203/nrg.pdf,https://www.nature.com/articles/nrg861,,
,,,Natural language processing,46,,"X Qiu, Q Zhang, XJ Huang - Proceedings of the 51st annual meeting of …, 2013 - aclweb.org",2013,"Qiu,",Fudannlp: A toolkit for chinese natural language processing,"The growing need for Chinese natural language processing (NLP) is largely in a range of 
research and commercial applications. However, most of the currently Chinese NLP tools or 
components still have a wide range of issues need to be further improved and developed …",https://www.aclweb.org/anthology/P13-4009.pdf,https://www.aclweb.org/anthology/P13-4009.pdf,,
,,,Natural language processing,47,,"N Sager, M Lyman, C Bucknall… - Journal of the …, 1994 - academic.oup.com",1994,"Sager,",Natural language processing and the representation of clinical data,"Objective: Develop a representation of clinical observations and actions and a method of 
processing free-text patient documents to facilitate applications such as quality assurance. 
Design: The Linguistic String Project (LSP) system of New York University utilizes syntactic …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC116193/pdf/0010142.pdf,https://academic.oup.com/jamia/article-abstract/1/2/142/702918,,
,,,Natural language processing,48,,"RH Baud, AM Rassinoux… - Methods of information in …, 1992 - thieme-connect.com",1992,"Baud,",Natural language processing and semantical representation of medical texts,"For medical records, the challenge for the present decade is Natural Language Processing 
(NLP) of texts, and the construction of an adequate Knowledge Representation. This article 
describes the components of an NLP system, which is currently being developed in the …",,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0038-1634865,,
,,,Natural language processing,49,,"M Lapata, F Keller - … Transactions on Speech and Language Processing …, 2005 - dl.acm.org",2005,"Lapata,",Web-based models for natural language processing,"Previous work demonstrated that Web counts can be used to approximate bigram counts, 
suggesting that Web-based frequencies should be useful for a wide variety of Natural 
Language Processing (NLP) tasks. However, only a limited number of tasks have so far …",http://homepages.inf.ed.ac.uk/mlap/Papers/tslp05.pdf,https://dl.acm.org/doi/abs/10.1145/1075389.1075392,,
,,,Natural language processing,50,,"M Bates, RM Weischedel - 2006 - books.google.com",2006,"Bates,",Challenges in natural language processing,"Though natural language processing has come far in the past twenty years, the technology 
has not achieved a major impact on society. Is this because of some fundamental limitation 
that cannot be overcome? Or because there has not been enough time to refine and apply …",,https://books.google.com/books?hl=en&lr=&id=lKVhmS26070C&oi=fnd&pg=PP1&dq=Natural+language+processing&ots=NIpo-QZC6P&sig=nuGftwa-_xq7HQVnya3GYuwVHb8,,
,,,Natural language processing,51,,"KB Cohen, D Demner-Fushman - 2014 - books.google.com",2014,"Cohen,",Biomedical natural language processing,"Biomedical Natural Language Processing is a comprehensive tour through the classic and 
current work in the field. It discusses all subjects from both a rule-based and a machine 
learning approach, and also describes each subject from the perspective of both biological …",,https://books.google.com/books?hl=en&lr=&id=vXvPAgAAQBAJ&oi=fnd&pg=PR1&dq=Natural+language+processing&ots=ZH5mL9voLL&sig=XpzOvAZZaUwZhpPqGSC0Fw4ImtI,,
,,,Natural language processing,52,,"D Meurers - The encyclopedia of applied linguistics, 2012 - Wiley Online Library",2012,Meurers,Natural language processing and language learning,"As a relatively young field of research and development that began with work on crypt- analysis 
 and machine translation around 50 years ago, natural language processing (NLP) is concerned 
 with the automated processing of human language. It addresses the analysis and generation …",http://sfs.uni-tuebingen.de/~dm/papers/Meurers-19.pdf,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781405198431.wbeal0858,,
,,,Natural language processing,53,,"C Friedman, P Kra, H Yu, M Krauthammer… - ISMB (supplement of …, 2001 - bi.snu.ac.kr",2001,"Friedman,",GENIES: a natural-language processing system for the extraction of molecular pathways from journal articles,"Abstract Systems that extract structured information from natural language passages have 
been highly successful in specialized domains. The time is opportune for developing 
analogous applications for molecular biology and genomics. We present a system, GENIES …",https://bi.snu.ac.kr/SEMINAR/ISMB2001/papers/ppt/S74ppt.pdf,https://bi.snu.ac.kr/SEMINAR/ISMB2001/papers/ppt/S74ppt.pdf,,
,,,Natural language processing,54,,"EL Park, S Cho - Annual Conference on Human and Language …, 2014 - koreascience.or.kr",2014,"Park,",KoNLPy: Korean natural language processing in Python,"파이썬은 간결한 아름다움을 추구하는 동시에 강력한 스트링 연산이 가능한 언어다. KoNLPy 
는 그러한 특장점을 살려, 파이썬으로 한국어 정보처리를 할 수 있게 하는 패키지이다. 꼬꼬마, 
한나눔, MeCab-ko 등 국내외에서 개발된 여러 형태소 분석기를 포함하고, 자연어처리에 …",https://www.koreascience.or.kr/article/CFKO201408355727285.pdf,https://www.koreascience.or.kr/article/CFKO201408355727285.page,,
,,,Natural language processing,55,,"D Demner-Fushman, WW Chapman… - Journal of biomedical …, 2009 - Elsevier",2009,"Demner-Fushman,",What can natural language processing do for clinical decision support?,"Computerized clinical decision support (CDS) aims to aid decision making of health care 
providers and the public by providing easily accessible health-related information at the 
point and time it is needed. natural language processing (NLP) is instrumental in using free …",https://www.sciencedirect.com/science/article/pii/S1532046409001087,https://www.sciencedirect.com/science/article/pii/S1532046409001087,,
,,,Natural language processing,56,,"KF Wong, W Li, R Xu, Z Zhang - … on Human Language …, 2009 - morganclaypool.com",2009,"Wong,",Introduction to Chinese natural language processing,"This book introduces Chinese language-processing issues and techniques to readers who 
already have a basic background in natural language processing (NLP). Since the major 
difference between Chinese and Western languages is at the word level, the book primarily …",,https://www.morganclaypool.com/doi/abs/10.2200/S00211ED1V01Y200909HLT004,,
,,,Natural language processing,57,,"E Brill - International Conference on Intelligent Text Processing …, 2003 - Springer",2003,Brill,Processing natural language without natural language processing,"We can still create computer programs displaying only the most rudimentary natural 
language processing capabilities. One of the greatest barriers to advanced natural language 
processing is our inability to overcome the linguistic knowledge acquisition bottleneck. In …",http://ndl.ethernet.edu.et/bitstream/123456789/36886/1/4..pdf#page=375,https://link.springer.com/chapter/10.1007/3-540-36456-0_37,,
,,,Natural language processing,58,,"W Yim, M Yetisgen, WP Harris, SW Kwan - JAMA oncology, 2016 - jamanetwork.com",2016,"Yim,",Natural language processing in oncology: a review,"Importance Natural language processing (NLP) has the potential to accelerate translation of 
cancer treatments from the laboratory to the clinic and will be a powerful tool in the era of 
personalized medicine. This technology can harvest important clinical variables trapped in …",,https://jamanetwork.com/journals/jamaoncology/article-abstract/2517402,,
,,,Natural language processing,59,,"P Hanks, J Pustejovsky - Revue Française de linguistique appliquée, 2005 - cairn.info",2005,"Hanks,",A pattern dictionary for natural language processing,"This paper briefly surveys three of the main resources for word sense disambiguation that 
are currently in use–WordNet, FrameNet, and Levin classes–and proposes an alternative 
approach, focusing on verbs and their valencies. This new approach does not attempt to …",https://www.cairn.info/revue-francaise-de-linguistique-appliquee-2005-2-page-63.htm,https://www.cairn.info/revue-francaise-de-linguistique-appliquee-2005-2-page-63.htm,,
,,,Natural language processing,60,,"M Neumann, D King, I Beltagy, W Ammar - arXiv preprint arXiv …, 2019 - arxiv.org",2019,"Neumann,",Scispacy: Fast and robust models for biomedical natural language processing,"Despite recent advances in natural language processing, many statistical models for 
processing text perform extremely poorly under domain shift. Processing biomedical and 
clinical text is a critically important application area of natural language processing, for …",https://arxiv.org/pdf/1902.07669.pdf?source=post_page---------------------------,https://arxiv.org/abs/1902.07669,,
,,,Natural language processing,61,,"DW Otter, JR Medina, JK Kalita - IEEE Transactions on Neural …, 2020 - ieeexplore.ieee.org",2020,"Otter,",A survey of the usages of deep learning for natural language processing,"Over the last several years, the field of natural language processing has been propelled 
forward by an explosion in the use of deep learning models. This article provides a brief 
introduction to the field and a quick overview of deep learning architectures and methods. It …",https://arxiv.org/pdf/1807.10854,https://ieeexplore.ieee.org/abstract/document/9075398/,,
,,,Natural language processing,62,,"T Nasukawa, J Yi - Proceedings of the 2nd international conference on …, 2003 - dl.acm.org",2003,"Nasukawa,",Sentiment analysis: Capturing favorability using natural language processing,"This paper illustrates a sentiment analysis approach to extract sentiments associated with 
polarities of positive or negative for specific subjects from a document, instead of classifying 
the whole document into positive or negative. The essential issues in sentiment analysis are …",https://www.researchgate.net/profile/Jeonghee_Yi/publication/220916772_Sentiment_analysis_Capturing_favorability_using_natural_language_processing/links/54ff4b970cf2741b69f63f22.pdf,https://dl.acm.org/doi/abs/10.1145/945645.945658,,
,,,Natural language processing,63,,"E Cambria, B White - IEEE Computational intelligence …, 2014 - ieeexplore.ieee.org",2014,"Cambria,",Jumping NLP curves: A review of natural language processing research,"Natural language processing (NLP) is a theory-motivated range of computational techniques 
for the automatic analysis and representation of human language. NLP research has 
evolved from the era of punch cards and batch processing (in which the analysis of a …",https://www.gwern.net/docs/ai/2014-cambria.pdf,https://ieeexplore.ieee.org/abstract/document/6786458/,,
,,,Natural language processing,64,,"H Li - National Science Review, 2017 - academic.oup.com",2017,Li,Deep learning for natural language processing: advantages and challenges,"Deep learning refers to machine learning technologies for learning and utilizing 
'deep'artificial neural networks, such as deep neural networks (DNN), convolutional neural 
networks (CNN) and recurrent neural networks (RNN). Recently, deep learning has been …",https://academic.oup.com/nsr/article/5/1/24/4107792,https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwx110/31567231/nwx110.pdf,,
,,,Natural language processing,65,,F Olsson - 2009 - eprints.sics.se,2009,Olsson,A literature survey of active machine learning in the context of natural language processing,"Active learning is a supervised machine learning technique in which the learner is in control 
of the data used for learning. That control is utilized by the learner to ask an oracle, typically 
a human with extensive knowledge of the domain at hand, about the classes of the …",http://eprints.sics.se/3600/1/SICS-T--2009-06--SE.pdf,http://eprints.sics.se/3600,,
